dmin,dmax,tmin,tmax,cuaca
60,90,24,33,Hujan
60,90,24,33,Hujan
60,90,24,33,Hujan
60,90,24,33,Cerah
60,90,24,33,Cerah
60,90,24,33,Cerah
60,90,24,33,Berawan
60,90,24,33,Berawan
60,90,24,33,Berawan
60,90,24,33,Berawan
60,90,24,33,Berawan
60,90,24,33,Berawan
60,90,24,33,Berawan
60,90,24,33,Berawan
60,90,24,33,Berawan
60,90,24,33,Hujan
60,90,24,33,Berawan
60,90,24,33,Berawan
60,90,24,33,Cerah
60,90,24,33,Cerah
60,90,24,33,Cerah
60,90,24,33,Cerah
60,90,24,33,Cerah
60,90,24,33,Cerah
65,90,25,33,Hujan
65,90,25,33,Hujan
65,90,25,33,Hujan
65,90,25,33,Cerah
65,90,25,33,Hujan
65,90,25,33,Hujan
65,90,25,33,Hujan
65,90,25,33,Hujan
65,90,25,33,Hujan
65,90,25,33,Berawan
65,90,25,33,Hujan
65,90,25,33,Hujan
65,90,25,33,Berawan
65,90,25,33,Berawan
65,90,25,33,Berawan
65,90,25,33,Hujan
65,90,25,33,Berawan
65,90,25,33,Berawan
65,90,25,33,Cerah
65,90,25,33,Cerah
65,90,25,33,Cerah
65,90,25,33,Cerah
65,90,25,33,Cerah
65,90,25,33,Cerah
65,95,25,32,Hujan
65,95,25,32,Hujan
65,95,25,32,Hujan
65,95,25,32,Hujan
65,95,25,32,Hujan
65,95,25,32,Hujan
65,95,25,32,Berawan
65,95,25,32,Berawan
65,95,25,32,Berawan
65,95,25,32,Hujan
65,95,25,32,Berawan
65,95,25,32,Hujan
65,95,25,32,Berawan
65,95,25,32,Berawan
65,95,25,32,Berawan
65,95,25,32,Hujan
65,95,25,32,Berawan
65,95,25,32,Hujan
65,95,25,32,Berawan
65,95,25,32,Cerah
65,95,25,32,Berawan
65,95,25,32,Cerah
65,95,25,32,Berawan
65,95,25,32,Berawan
65,95,23,32,Hujan
65,95,23,32,Hujan
65,95,23,32,Hujan
65,95,23,32,Cerah
65,95,23,32,Hujan
65,95,23,32,Hujan
65,95,23,32,Hujan
65,95,23,32,Hujan
65,95,23,32,Hujan
65,95,23,32,Cerah
65,95,23,32,Hujan
65,95,23,32,Hujan
65,95,23,32,Cerah
65,95,23,32,Hujan
65,95,23,32,Cerah
65,95,23,32,Hujan
65,95,23,32,Berawan
65,95,23,32,Hujan
65,95,23,32,Cerah
65,95,23,32,Cerah
65,95,23,32,Cerah
65,95,23,32,Hujan
65,95,23,32,Cerah
65,95,23,32,Cerah
60,95,24,33,Hujan
60,95,24,33,Hujan
60,95,24,33,Hujan
60,95,24,33,Cerah
60,95,24,33,Hujan
60,95,24,33,Hujan
60,95,24,33,Hujan
60,95,24,33,Hujan
60,95,24,33,Hujan
60,95,24,33,Hujan
60,95,24,33,Hujan
60,95,24,33,Hujan
60,95,24,33,Cerah
60,95,24,33,Cerah
60,95,24,33,Cerah
60,95,24,33,Hujan
60,95,24,33,Cerah
60,95,24,33,Hujan
60,95,24,33,Cerah
60,95,24,33,Berawan
60,95,24,33,Cerah
60,95,24,33,Hujan
60,95,24,33,Berawan
60,95,24,33,Berawan
65,90,25,32,Hujan
65,90,25,32,Hujan
65,90,25,32,Hujan
65,90,25,32,Berawan
65,90,25,32,Hujan
65,90,25,32,Hujan
65,90,25,32,Berawan
65,90,25,32,Berawan
65,90,25,32,Berawan
65,90,25,32,Hujan
65,90,25,32,Berawan
65,90,25,32,Berawan
65,90,25,32,Berawan
65,90,25,32,Berawan
65,90,25,32,Berawan
65,90,25,32,Berawan
65,90,25,32,Berawan
65,90,25,32,Berawan
65,90,25,32,Berawan
65,90,25,32,Berawan
65,90,25,32,Berawan
65,90,25,32,Cerah
65,90,25,32,Berawan
65,90,25,32,Berawan
65,90,23,32,Hujan
65,90,23,32,Hujan
65,90,23,32,Hujan
65,90,23,32,Berawan
65,90,23,32,Hujan
65,90,23,32,Hujan
65,90,23,32,Hujan
65,90,23,32,Hujan
65,90,23,32,Hujan
65,90,23,32,Hujan
65,90,23,32,Hujan
65,90,23,32,Hujan
65,90,23,32,Berawan
65,90,23,32,Berawan
65,90,23,32,Berawan
65,90,23,32,Hujan
65,90,23,32,Berawan
65,90,23,32,Berawan
65,90,23,32,Berawan
65,90,23,32,Berawan
65,90,23,32,Berawan
65,90,23,32,Cerah
65,90,23,32,Berawan
65,90,23,32,Berawan
85,90,23,31,Hujan
85,90,23,31,Hujan
85,90,23,31,Hujan
85,90,23,31,Berawan
85,90,23,31,Hujan
85,90,23,31,Hujan
85,90,23,31,Hujan
85,90,23,31,Hujan
85,90,23,31,Hujan
85,90,23,31,Hujan
85,90,23,31,Hujan
85,90,23,31,Hujan
85,90,23,31,Berawan
85,90,23,31,Cerah
85,90,23,31,Berawan
85,90,23,31,Hujan
85,90,23,31,Berawan
85,90,23,31,Berawan
85,90,23,31,Cerah
85,90,23,31,Cerah
85,90,23,31,Cerah
85,90,23,31,Cerah
85,90,23,31,Cerah
85,90,23,31,Cerah
80,95,25,33,Hujan
80,95,25,33,Hujan
80,95,25,33,Hujan
80,95,25,33,Cerah
80,95,25,33,Hujan
80,95,25,33,Hujan
80,95,25,33,Hujan
80,95,25,33,Hujan
80,95,25,33,Hujan
80,95,25,33,Cerah
80,95,25,33,Hujan
80,95,25,33,Hujan
80,95,25,33,Cerah
80,95,25,33,Berawan
80,95,25,33,Cerah
80,95,25,33,Hujan
80,95,25,33,Berawan
80,95,25,33,Berawan
80,95,25,33,Cerah
80,95,25,33,Cerah
80,95,25,33,Cerah
80,95,25,33,Hujan
80,95,25,33,Cerah
80,95,25,33,Cerah
65,90,25,33,Hujan
65,90,25,33,Hujan
65,90,25,33,Hujan
65,90,25,33,Cerah
65,90,25,33,Berawan
65,90,25,33,Berawan
65,90,25,33,Berawan
65,90,25,33,Berawan
65,90,25,33,Berawan
65,90,25,33,Berawan
65,90,25,33,Berawan
65,90,25,33,Berawan
65,90,25,33,Berawan
65,90,25,33,Berawan
65,90,25,33,Berawan
65,90,25,33,Berawan
65,90,25,33,Berawan
65,90,25,33,Berawan
65,90,25,33,Cerah
65,90,25,33,Cerah
65,90,25,33,Cerah
65,90,25,33,Berawan
65,90,25,33,Cerah
65,90,25,33,Cerah
60,90,25,33,Berawan
60,90,25,33,Berawan
60,90,25,33,Hujan
60,90,25,33,Berawan
60,90,25,33,Berawan
60,90,25,33,Berawan
60,90,25,33,Berawan
60,90,25,33,Berawan
60,90,25,33,Berawan
60,90,25,33,Berawan
60,90,25,33,Berawan
60,90,25,33,Berawan
60,90,25,33,Berawan
60,90,25,33,Berawan
60,90,25,33,Berawan
60,90,25,33,Hujan
60,90,25,33,Berawan
60,90,25,33,Berawan
60,90,25,33,Berawan
60,90,25,33,Berawan
60,90,25,33,Berawan
60,90,25,33,Cerah
60,90,25,33,Cerah
60,90,25,33,Cerah
60,90,25,33,Berawan
60,90,25,33,Berawan
60,90,25,33,Hujan
60,90,25,33,Berawan
60,90,25,33,Berawan
60,90,25,33,Berawan
60,90,25,33,Berawan
60,90,25,33,Berawan
60,90,25,33,Berawan
60,90,25,33,Berawan
60,90,25,33,Berawan
60,90,25,33,Berawan
60,90,25,33,Berawan
60,90,25,33,Berawan
60,90,25,33,Berawan
60,90,25,33,Hujan
60,90,25,33,Berawan
60,90,25,33,Berawan
60,90,25,33,Berawan
60,90,25,33,Berawan
60,90,25,33,Berawan
60,90,25,33,Cerah
60,90,25,33,Cerah
60,90,25,33,Cerah
60,95,25,34,Berawan
60,95,25,34,Berawan
60,95,25,34,Berawan
60,95,25,34,Hujan
60,95,25,34,Cerah
60,95,25,34,Berawan
60,95,25,34,Berawan
60,95,25,34,Cerah
60,95,25,34,Berawan
60,95,25,34,Hujan
60,95,25,34,Cerah
60,95,25,34,Cerah
60,95,25,34,Berawan
60,95,25,34,Berawan
60,95,25,34,Berawan
60,95,25,34,Hujan
60,95,25,34,Berawan
60,95,25,34,Berawan
60,95,25,34,Berawan
60,95,25,34,Berawan
60,95,25,34,Berawan
60,95,25,34,Hujan
60,95,25,34,Cerah
60,95,25,34,Cerah
55,90,26,34,Cerah
55,90,26,34,Cerah
55,90,26,34,Cerah
55,90,26,34,Cerah
55,90,26,34,Cerah
55,90,26,34,Cerah
55,90,26,34,Cerah
55,90,26,34,Berawan
55,90,26,34,Cerah
55,90,26,34,Cerah
55,90,26,34,Cerah
55,90,26,34,Cerah
55,90,26,34,Berawan
55,90,26,34,Berawan
55,90,26,34,Berawan
55,90,26,34,Cerah
55,90,26,34,Berawan
55,90,26,34,Berawan
55,90,26,34,Cerah
55,90,26,34,Cerah
55,90,26,34,Cerah
55,90,26,34,Cerah
55,90,26,34,Cerah
55,90,26,34,Cerah
55,95,25,33,Cerah
55,95,25,33,Cerah
55,95,25,33,Cerah
55,95,25,33,Cerah
55,95,25,33,Cerah
55,95,25,33,Cerah
55,95,25,33,Cerah
55,95,25,33,Berawan
55,95,25,33,Cerah
55,95,25,33,Cerah
55,95,25,33,Cerah
55,95,25,33,Cerah
55,95,25,33,Berawan
55,95,25,33,Berawan
55,95,25,33,Berawan
55,95,25,33,Cerah
55,95,25,33,Berawan
55,95,25,33,Berawan
55,95,25,33,Cerah
55,95,25,33,Cerah
55,95,25,33,Cerah
55,95,25,33,Cerah
55,95,25,33,Cerah
55,95,25,33,Cerah
55,85,25,34,Cerah
55,85,25,34,Cerah
55,85,25,34,Cerah
55,85,25,34,Cerah
55,85,25,34,Cerah
55,85,25,34,Cerah
55,85,25,34,Cerah
55,85,25,34,Berawan
55,85,25,34,Cerah
55,85,25,34,Cerah
55,85,25,34,Cerah
55,85,25,34,Cerah
55,85,25,34,Cerah
55,85,25,34,Cerah
55,85,25,34,Cerah
55,85,25,34,Cerah
55,85,25,34,Cerah
55,85,25,34,Cerah
55,85,25,34,Cerah
55,85,25,34,Cerah
55,85,25,34,Cerah
55,85,25,34,Cerah
55,85,25,34,Cerah
55,85,25,34,Cerah
70,85,25,33,Cerah
70,85,25,33,Cerah
70,85,25,33,Cerah
70,85,25,33,Cerah
70,85,25,33,Cerah
70,85,25,33,Cerah
70,85,25,33,Cerah
70,85,25,33,Berawan
70,85,25,33,Cerah
70,85,25,33,Cerah
70,85,25,33,Cerah
70,85,25,33,Cerah
70,85,25,33,Cerah
70,85,25,33,Cerah
70,85,25,33,Cerah
70,85,25,33,Cerah
70,85,25,33,Cerah
70,85,25,33,Cerah
70,85,25,33,Cerah
70,85,25,33,Cerah
70,85,25,33,Cerah
70,85,25,33,Cerah
70,85,25,33,Cerah
70,85,25,33,Cerah
55,90,24,32,Cerah
55,90,24,32,Cerah
55,90,24,32,Cerah
55,90,24,32,Cerah
55,90,24,32,Cerah
55,90,24,32,Cerah
55,90,24,32,Cerah
55,90,24,32,Cerah
55,90,24,32,Hujan
55,90,24,32,Cerah
55,90,24,32,Cerah
55,90,24,32,Cerah
55,90,24,32,Cerah
55,90,24,32,Cerah
55,90,24,32,Cerah
55,90,24,32,Hujan
55,90,24,32,Cerah
55,90,24,32,Cerah
55,90,24,32,Cerah
55,90,24,32,Cerah
55,90,24,32,Cerah
55,90,24,32,Cerah
55,90,24,32,Cerah
55,90,24,32,Cerah
55,85,25,34,Cerah
55,85,25,34,Cerah
55,85,25,34,Cerah
55,85,25,34,Cerah
55,85,25,34,Cerah
55,85,25,34,Cerah
55,85,25,34,Cerah
55,85,25,34,Cerah
55,85,25,34,Cerah
55,85,25,34,Cerah
55,85,25,34,Cerah
55,85,25,34,Cerah
55,85,25,34,Cerah
55,85,25,34,Cerah
55,85,25,34,Cerah
55,85,25,34,Berawan
55,85,25,34,Cerah
55,85,25,34,Cerah
55,85,25,34,Cerah
55,85,25,34,Cerah
55,85,25,34,Cerah
55,85,25,34,Cerah
55,85,25,34,Cerah
55,85,25,34,Cerah
55,85,26,34,Cerah
55,85,26,34,Cerah
55,85,26,34,Cerah
55,85,26,34,Cerah
55,85,26,34,Berawan
55,85,26,34,Berawan
55,85,26,34,Cerah
55,85,26,34,Berawan
55,85,26,34,Cerah
55,85,26,34,Berawan
55,85,26,34,Cerah
55,85,26,34,Cerah
55,85,26,34,Berawan
55,85,26,34,Berawan
55,85,26,34,Berawan
55,85,26,34,Berawan
55,85,26,34,Berawan
55,85,26,34,Berawan
55,85,26,34,Cerah
55,85,26,34,Cerah
55,85,26,34,Cerah
55,85,26,34,Cerah
55,85,26,34,Cerah
55,85,26,34,Cerah
50,80,24,34,Cerah
50,80,24,34,Cerah
50,80,24,34,Cerah
50,80,24,34,Cerah
50,80,24,34,Cerah
50,80,24,34,Cerah
50,80,24,34,Berawan
50,80,24,34,Berawan
50,80,24,34,Berawan
50,80,24,34,Berawan
50,80,24,34,Berawan
50,80,24,34,Berawan
50,80,24,34,Berawan
50,80,24,34,Berawan
50,80,24,34,Berawan
50,80,24,34,Hujan
50,80,24,34,Berawan
50,80,24,34,Berawan
50,80,24,34,Cerah
50,80,24,34,Cerah
50,80,24,34,Cerah
50,80,24,34,Cerah
50,80,24,34,Cerah
50,80,24,34,Cerah
60,85,26,34,Berawan
60,85,26,34,Berawan
60,85,26,34,Berawan
60,85,26,34,Berawan
60,85,26,34,Berawan
60,85,26,34,Berawan
60,85,26,34,Hujan
60,85,26,34,Hujan
60,85,26,34,Hujan
60,85,26,34,Hujan
60,85,26,34,Hujan
60,85,26,34,Hujan
60,85,26,34,Berawan
60,85,26,34,Berawan
60,85,26,34,Berawan
60,85,26,34,Hujan
60,85,26,34,Berawan
60,85,26,34,Berawan
60,85,26,34,Berawan
60,85,26,34,Berawan
60,85,26,34,Berawan
60,85,26,34,Berawan
60,85,26,34,Berawan
60,85,26,34,Berawan
75,95,24,32,Hujan
75,95,24,32,Hujan
75,95,24,32,Hujan
75,95,24,32,Berawan
75,95,24,32,Cerah
75,95,24,32,Cerah
75,95,24,32,Berawan
75,95,24,32,Berawan
75,95,24,32,Berawan
75,95,24,32,Hujan
75,95,24,32,Berawan
75,95,24,32,Hujan
75,95,24,32,Berawan
75,95,24,32,Berawan
75,95,24,32,Berawan
75,95,24,32,Hujan
75,95,24,32,Berawan
75,95,24,32,Berawan
75,95,24,32,Cerah
75,95,24,32,Cerah
75,95,24,32,Cerah
75,95,24,32,Berawan
75,95,24,32,Cerah
75,95,24,32,Cerah
